id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
108958	abstract	Yeast|cell|contain|any|one|of|these|individual|mutation|,|L110S|,|L269P|,|or|L274Q|,|do|not|show|any|growth|defect|.	L110S|L269P|L274Q	3
108958	abstract	However|,|cell|contain|a|combination|of|L110S|with|one|of|the|other|two|mutation|show|a|temperature|-|sensitive|phenotype|,|and|this|phenotype|be|suppress|by|fuse|the|mutant|gene|to|SPT15|,|which|encode|TBP|.	L110S|SPT15|TBP	3
7012605	body	To|begin|to|assess|the|importance|of|high|-|order|structure|and|localization|for|CcmA|cell|shape|function|,|we|construct|two|point|mutant|variant|protein|,|located|in|the|predict|hydrophobic|core|of|the|protein|(|I55A|and|L110S|)|(|Shi|et|al.|,|2015|)|.	I55A|L110S	2
7012605	body	The|I55A|variant|show|low|steady|-|state|protein|level|than|wild|-|type|,|while|the|L110S|variant|consistently|show|high|steady|-|state|protein|level|than|wild|-|type|.	L110S|variant|consistently|showed|higher|steady|-|state|protein	9
7012605	body	Wild|-|type|CcmA|appear|as|short|focus|on|the|side|of|the|cell|,|but|CcmA|mutant|I55A|and|L110S|appear|as|focus|in|the|interior|of|the|cell|.	L110S	1
7012605	body	Preimmune|signal|be|50.6|%|and|26.7|%|of|the|anti|-|CcmA|signal|in|I55A|and|L110S|,|respectively|(|Figure|10—figure|supplement|3B|)|.	CcmA|I55A|L110S	3
7012605	body	Briefly|,|PCR|product|be|amplify|from|pKB69H|(|I55A|)|or|pKB72D|(|L110S|)|use|primer|CcmA|SDM|mi|F|and|CcmA|SDM|mi|R|(|Table|3|)|.	I55A|pKB72D|(|L110S|)|using|primers|CcmA|SDM|mi|F|Table|3	13
7012605	body	Purification|of|recombinant|6His|-|CcmA|and|variant|Plasmid|contain|N|-|terminal|6|-|histidine|fusion|to|WT|CcmA|(|pKB62|)|and|CcmA|contain|point|mutation|be|generate|use|site|directed|mutagenesis|primer|(|Table|3|)|to|generate|CcmA|I55A|(|pKB69H|;|primer|SDM|155A|F|and|SDM|I55A|R|)|and|CcmA|L110S|(|pKB72D|;|primer|SDM|L110S|F|and|SDM|L110S|R|)|.	recombinant|6His|N|-|terminal|6|pKB62|CcmA|SDM|155A|F|SDM|I55A|R|SDM|L110S|R	17
