id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
3420900	body	Bind|Assay|The|putative|extracellular|domain|of|mouse|Fas|or|fragment|thereof|(|amino|acid|19–168|,|19–38|,|and|39–168|,|lack|the|signal|peptide|)|and|the|domain|that|include|point|mutation|(|K32A|,|R34A|,|R35A|,|R36A|,|and|H38A|)|be|express|in|Escherichia|coli|BL21|cell|as|fusion|protein|with|gluthathione|sepharose|transferase|(|GST|)|,|and|purify|with|gluthathione|sepharose|4B|resin|(|GE|Healthcare|)|accord|to|the|manufacturer|’|s|instruction|.	putative|extracellular|domain|Fas|amino|acids|19–168|K32A|R34A|R35A|R36A|H38A|fusion|proteins|gluthathione|sepharose|transferase|GST|gluthathione|sepharose|4B|resin	22
3420900	body	The|K32A|,|R34A|,|R35A|,|R36A|,|and|H38A|point|mutant|be|generate|from|the|template|pGEX|-|6P|-|1|-|Fas|(|amino|acid|19–168|)|use|the|KOD|Plus|Mutagenesis|Kit|(|Toyobo|)|accord|to|the|manufacturer|’|s|instruction|.	K32A|R34A|R35A|R36A|H38A|point|mutants|6P|Fas|amino|acids|19–168	12
7181796	body	Recombinant|BAXR109D|and|BAXR34A|be|generate|by|site|-|direct|mutagenesis|of|human|wild|-|type|or|cy|-|null|BAX|,|respectively38|,|44|,|and|the|recombinant|wild|-|type|and|mutant|BAX|protein|express|and|purify|as|described9|.	BAXR34A|BAX|recombinant|wild|-|type|and|mutant|BAX|proteins	10
7181796	body	e|Immunoprecipitation|show|that|BAX|-|S184L|be|a|poor|activator|of|BAX|-|S184LR34A|.	BAX|S184L|BAX|S184LR34A	4
7181796	body	BAX|-|S184L|and|BAX|-|S184LR34A|be|express|individually|or|together|in|Bax−|/|−Bak−|/|−|MEF|,|and|membrane|fraction|incubate|with|the|3C10|antibody|to|activate|BAX|-|S184L|.	BAX|S184L|BAX|S184LR34A|Bax−|−Bak−|−|MEF|3C10|antibody|BAX|S184L	12
7181796	body	f|Schematic|of|BAX|-|S184L|combine|with|recombinant|BAXR34A|and|incubate|with|the|3C10|antibody|to|directly|activate|BAX|-|S184L|.	BAX|S184L|recombinant|BAXR34A|3C10|antibody|BAX|S184L	8
7181796	body	Mitochondrial|BAX|-|S184L|be|a|poor|activator|of|mitochondrial|BAX|-|S184LR34A|To|test|for|activation|between|BAX|molecule|reside|in|the|MOM|,|we|exploit|the|R34A|mutation|,|which|abrogate|binding|of|3C10|to|BAX44|.	Mitochondrial|BAX|S184L|BAX|S184LR34A|BAX|molecules|R34A|3C10|BAX44	10
7181796	body	Thus|,|even|if|F|-|BAX|-|S184L|be|present|and|able|to|be|activate|by|3C10|,|it|be|a|poor|activator|of|BAX|-|S184LR34A|.	BAX|S184L|3C10|BAX|S184LR34A	5
7181796	body	Mitochondrial|BAX|-|S184L|be|a|poor|activator|of|cytosolic|BAXR34A|To|test|for|activation|of|cytosolic|BAX|by|mitochondrial|BAX|-|S184L|,|we|pair|F|-|BAX|-|S184L|with|recombinant|BAXR34A|and|again|directly|activate|the|former|with|the|3C10|antibody|(|Fig|.	Mitochondrial|BAX|S184L|cytosolic|BAXR34A|cytosolic|BAX|mitochondrial|BAX|S184L|BAX|S184L|recombinant|BAXR34A|3C10|antibody	16
7181796	body	Recombinant|BAXR34A|be|add|to|all|incubation|and|direct|activation|of|F|-|BAX|-|S184L|or|BAK|initiate|with|cBID|,|3C10|,|or|7D10|(|Fig|.	Recombinant|BAXR34A|BAX|S184L|BAK	5
7181796	body	As|expect|,|cBID|trigger|BAXR34A|to|translocate|and|insert|into|mitochondrion|(|Fig|.	BAXR34A	1
7181796	body	In|addition|,|the|7D10|antibody|trigger|insertion|of|BAXR34A|in|the|presence|of|BAK|(|Fig|.	7D10|antibody|BAXR34A|BAK	4
7181796	body	Notably|,|while|the|3C10|antibody|increase|insertion|of|F|-|BAX|-|S184L|,|some|of|which|may|be|peripherally|attach|,|increase|insertion|of|BAXR34A|be|not|evident|(|Fig|.	3C10|antibody|BAX|S184L|BAXR34A	5
3206336	body	Relative|invasion|depth|be|monitor|after|a|3|-|d|assay|period|as|describe|in|D.|Alternatively|,|HCT116|-|p53−|/|−|cell|be|transfecte|with|control|or|miR|-|34a|oligonucleotide|alone|,|or|with|a|miR|-|34a|oligonucleotide|in|tandem|with|either|a|control|expression|vector|(|miR|-|34a|/|Mock|)|or|a|Snail1|expression|vector|(|mi|-|R34a|/|Snail1|)|,|and|culture|for|24|h|in|vitro|before|be|place|atop|the|chorioallantoic|membrane|.	HCT116|p53−|R34a|Snail1	4
4840321	body	(|C|)|293T|cell|be|transfecte|with|vector|express|FLAG|-|tag|SGTA|,|HA|-|tag|tetherin|and|WT|or|mutant|Vpu|(|RKR|-|AAA|,|R30A|,|K31A|,|R34A|and|SS|-|AA|)|.	FLAG|SGTA|HA|RKR|AAA|R30A|K31A|R34A|SS|-|AA	11
4840321	body	We|mutate|all|three|of|these|basic|residue|,|either|together|(|RKR|-|AAA|)|or|individually|(|R30A|,|K31A|,|R34A|)|.	RKR|AAA|R30A|K31A|R34A	5
