id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
5171940	body	It|contain|the|unaltered|light|chain|,|one|mutation|in|the|VH|domain|,|T108L|,|and|8|mutation|in|the|CH1|domain|.	unaltered|light|chain|VH|domain|T108L|CH1|domain	8
4864441	body	Table|3|Anti‐flaviviral|compound|that|target|NS4b|Virus|(|serotype|/|strain|)|Compound|Structure|Mechanism|of|action|Publication|DENV‐2|,|WNV|,|YFV|Lycorine|(|1|)|chemical|structure|image|Resistance|mutation|V9M|in|2K|peptide|of|WNV|31|YFV|CCG‐4088|chemical|structure|image|Resistance|mutation|K128R|115|YFV|CCG‐3394|chemical|structure|image|Resistance|mutation|K128R|115|DENV‐2|replicon|NITD‐618|chemical|structure|image|Resistance|mutation|104L|and|A119T|29|DENV‐2|replicon|SDM25N|chemical|structure|image|Resistance|mutation|F164L|cross‐resistant|with|NITD‐618|116|DENV‐2|Dasatinib|chemical|structure|image|Inhibition|by|AZD0530|,|dasatinib|,|and|RNAi‐mediated|Fyn|kinase|knockdown|can|be|counteract|by|mutation|T108L|118|DENV‐2|AZD0530|chemical|structure|image|Flavivirus|NS4b|and|HCV|NS4b—same|name|,|different|protein|The|NS4b|protein|of|flavivirus|such|as|DENV|or|WNV|and|of|the|HCV|(|another|member|of|the|Flaviviridae|family|)|be|orthologous|(|gene|encode|at|the|same|position|of|the|viral|ORF|)|but|not|homologous|(|evolutionarily|relate|)|,|either|in|their|structure|or|in|the|function|they|play|in|the|respective|viral|life|cycle|(|Figure|5|)|.	WNV|31|YFV|CCG‐4088|chemical|structure|image|Resistance|mutation|K128R|115|YFV|CCG‐3394|chemical|structure|image|Resistance|mutation|K128R|115|DENV‐2|replicon|NITD‐618|chemical|structure|image|Resistance|mutations|104L|mutation|T108L|118|DENV‐2|AZD0530|chemical|structure|image|Flavivirus|NS4b|NS4b|proteins|Flaviviridae|family	43
