id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
3646771	abstract	Moreover|,|a|single|alanine|substitution|of|the|Pro|-|139|in|the|CB2|receptor|that|correspond|to|Leu|-|222|in|the|CB1|receptor|result|in|a|moderate|impairment|in|the|inhibition|of|cAMP|accumulation|,|whereas|mutant|P139F|,|P139M|and|P139L|be|able|to|couple|to|the|Gs|protein|in|a|CRE|-|drive|luciferase|assay|.	Pro|CB2|receptor|Leu|CB1|receptor|P139F|P139M|P139L|Gs|protein|luciferase	12
3646771	abstract	With|the|ERK|activation|experiment|,|we|further|find|that|P139L|have|the|ability|to|activate|ERK|through|both|Gi|-|and|Gs|-|mediate|pathway|.	ERK|P139L|ERK	3
3646771	body	(|C|)|Dose|response|curve|of|cAMP|accumulation|for|the|CB2P139A|and|CB2P139L|upon|WIN55|,|212|-|2|stimulation|.	CB2P139L|WIN55	2
3646771	body	For|cAMP|measurement|,|cell|be|incubate|with|various|concentration|of|WIN55|,|212|-|2|for|P139L|and|with|various|concentration|of|WIN55|,|212|-|2|plus|10|µM|forskolin|for|P139A|and|wild|-|type|for|4|h.|Value|be|express|as|percentage|of|forskolin|stimulation|for|CB2P139A|and|CB2|wild|-|type|,|and|as|percentage|of|basal|activity|for|CB2P139L|.	WIN55|P139L|WIN55|P139A|CB2P139A|CB2|CB2P139L	7
3646771	body	Distinct|Activation|of|ERK1|/|2|Pathway|by|the|Wild|-|type|and|the|P139L|Mutant|CB2|Receptor|It|have|be|well|establish|that|the|MAP|kinase|pathway|have|emerge|as|an|important|effector|for|G|protein|couple|receptor|(|GPCR|)|and|can|be|use|to|assess|the|functional|outcome|of|receptor|stimulation|[|24|]|.	ERK1|P139L|Mutant|CB2|Receptor|MAP|kinase|G|protein|GPCRs	10
3646771	body	HEK293|cell|that|be|transfecte|with|wild|-|type|CB2|or|the|P139L|mutant|be|serum|-|starve|overnight|and|then|stimulate|with|increase|concentration|of|WIN|55|,|212|-|2|for|5|min|.	wild|-|type|CB2|P139L|mutant	6
3646771	body	As|illustrate|in|Figure|5A|and|5B|,|stimulation|with|agonist|WIN55|,|212|-|2|elicit|a|transient|phosphorylation|of|ERK1|/|2|but|without|a|difference|between|wild|-|type|CB2|and|the|P139L|mutant|.	5B|ERK1|wild|-|type|CB2|P139L|mutant	8
3646771	body	However|,|in|cell|express|P139L|mutant|CB2|,|PTX|treatment|lead|to|a|significant|inhibition|of|WIN55|,|212|-|2|-|mediate|ERK1|/|2|activation|,|but|pretreatment|with|H89|also|result|in|a|partial|suppression|of|ERK1|/|2|phosphorylation|.	P139L|mutant|CB2|WIN55|ERK1|H89|ERK1	7
3646771	body	Take|together|,|these|result|demonstrate|that|wild|-|type|CB2|exclusively|activate|the|ERK1|/|2|pathway|via|Gi|-|dependent|pathway|while|the|P139L|mutant|have|the|ability|to|activate|ERK1|/|2|through|both|Gi|-|and|Gs|-|mediate|pathway|.	wild|-|type|CB2|ERK1|Gi|P139L|mutant|ERK1	9
3646771	body	We|demonstrate|that|the|P139A|CB2|mutant|exhibit|only|a|slightly|decrease|functional|response|to|agonist|WIN55|,|212|-|2|,|whereas|the|replacement|of|proline|with|the|very|hydrophobic|amino|acid|leucine|(|P139L|)|,|methionine|(|P139M|)|,|and|phenylalanine|(|P139F|)|cause|a|stimulation|of|intracellular|cAMP|accumulation|to|a|different|extent|.	P139A|CB2|mutant|P139L|P139M|P139F	6
3646771	body	In|the|present|study|,|activate|wild|-|type|CB2|receptor|trigger|phosphorylation|of|ERK1|/|2|in|HEK293|cell|via|a|PTX|-|sensitive|Gi|protein|pathway|,|whereas|the|P139L|mutant|cause|the|activation|of|the|ERK1|/|2|pathway|through|both|a|predominant|PTX|-|sensitive|Gi|protein|pathway|and|to|a|less|extent|a|PKA|-|dependent|pathway|in|response|to|the|agonist|WIN|55|,|212|-|2|,|suggest|that|the|P139L|mutant|might|dually|couple|to|Gi|and|Gs|protein|.	wild|-|type|CB2|receptors|ERK1|PTX|-|sensitive|Gi|protein|P139L|mutant|ERK1|Gi|protein|PKA|P139L|mutant|Gs|proteins	21
3646771	body	Although|we|only|observe|the|agonist|-|stimulate|cAMP|increase|in|cell|express|the|P139L|mutant|use|a|CRE|-|drive|reporter|assay|,|it|be|likely|that|the|Gi|-|mediate|inhibitory|effect|be|mask|by|productive|cAMP|accumulation|.	P139L|mutant	2
3646771	body	Figure|S3|Fluorescence|microscopy|analysis|of|CB2|mutant|CB2P139A|,|CB2P139L|,|CB2P139M|,|CB2P139F|,|CB2P139I|,|CB2P139V|and|CB2P139LCter|expression|and|localization|.	CB2|mutants|CB2P139L|CB2P139F	4
3646771	body	WT|,|CB2|wild|-|type|receptor|;|P139A|,|CB2|mutant|CB2P139A|;|P139L|,|CB2|mutant|CB2P139L|;|P139M|,|CB2|mutant|CB2P139M|;|P139F|,|CB2|mutant|CB2P139F|;|P139I|,|CB2|mutant|CB2P139I|;|P139V|,|CB2|mutant|CB2P139V|;|P139LCter|,|CB2|mutant|CB2P139LCter|.	CB2|wild|-|type|receptors|P139A|CB2|P139L|CB2|P139M|CB2|P139F|CB2|P139I|CB2|CB2	16
