id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
95730	abstract	Four|polypeptide|sequence|,|V37D|(|amino|acid|[|aa|]|1685|to|1721|)|,|V36S|(|aa|2102|to|2137|)|,|P37R|(|aa|2156|to|2192|)|,|and|C40P|(|aa|2280|to|2319|)|,|be|identify|and|synthesize|for|use|in|immunoassay|.	V37D|V36S|P37R|C40P	4
5276809	body	Importantly|,|some|of|the|CTL|escape|mutation|in|Tat|such|as|F32L|and|V36S|observe|in|a|frequently|recognize|(|or|immunodominant|)|Tat|epitope|,|CC8|(|30CCFHCQVC37|)|restrict|by|HLA|-|C∗12|:|03|(|Cao|et|al.|,|2003|;|Liu|et|al.|,|2007|,|2011|)|,|be|located|at|site|that|be|important|for|transactivation|and|co|-|factor|binding|(|Figure|2|)|.	Tat|F32L|V36S|CC8|HLA|-|C∗12	7
10391865	abstract	Four|polypeptide|sequence|,|V37D|(|amino|acid|[|aa|]|1685|to|1721|)|,|V36S|(|aa|2102|to|2137|)|,|P37R|(|aa|2156|to|2192|)|,|and|C40P|(|aa|2280|to|2319|)|,|be|identify|and|synthesize|for|use|in|immunoassay|.	V37D|V36S|P37R|C40P	4
