id_pmc	sentence location	highlighted phrase	protein entities found	number of protein entities
2248316	abstract	The|oligomeric|assembly|of|Rev|-|L18T|be|impaired|but|exhibit|minor|defect|in|structure|and|retain|a|basal|level|of|activity|in|vivo|.	Rev|L18T	2
2248316	abstract	The|prevalence|of|L18T|in|infected|individual|suggest|a|positive|selection|mechanism|for|L18T|modulation|of|Rev|activity|that|may|delay|the|onset|of|AIDS|.	L18T|Rev	2
3249508	body	The|effect|of|mutation|of|apolar|residue|to|polar|residue|within|OD|1|(|V16D|and|L18T|)|on|the|interaction|between|DDX1|and|Rev|be|determine|use|the|immunoprecipitation|assay|.	OD|1|V16D|L18T|DDX1|Rev	6
